antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'milk'}),"frozenset({'mineral water', 'shrimp'})",0.12958272230369283,0.023596853752832957,0.007865617917610986,0.06069958847736626,2.5723593964334706,0.00480787337051678,1.039500392280664
"frozenset({'shrimp', 'chocolate'})",frozenset({'milk'}),0.017997600319957337,0.12958272230369283,0.005465937874950006,0.3037037037037037,2.3437052278616064,0.003133759830556121,1.250067366904271
"frozenset({'chocolate', 'milk'})",frozenset({'shrimp'}),0.03212904946007199,0.07145713904812692,0.005465937874950006,0.17012448132780084,2.3807905493280486,0.003170087920197495,1.118894147447007
frozenset({'shrimp'}),"frozenset({'chocolate', 'milk'})",0.07145713904812692,0.03212904946007199,0.005465937874950006,0.07649253731343282,2.380790549328048,0.003170087920197495,1.0480380393725282
frozenset({'milk'}),"frozenset({'shrimp', 'chocolate'})",0.12958272230369283,0.017997600319957337,0.005465937874950006,0.04218106995884774,2.343705227861607,0.003133759830556121,1.0252484774317954
"frozenset({'mineral water', 'frozen vegetables'})",frozenset({'shrimp'}),0.03572856952406346,0.07145713904812692,0.007199040127982935,0.2014925373134328,2.8197677656493645,0.004645978767511263,1.1628480688556169
"frozenset({'mineral water', 'shrimp'})",frozenset({'frozen vegetables'}),0.023596853752832957,0.09532062391681109,0.007199040127982935,0.30508474576271183,3.200616332819722,0.004949773305789152,1.301855687534345
frozenset({'frozen vegetables'}),"frozenset({'mineral water', 'shrimp'})",0.09532062391681109,0.023596853752832957,0.007199040127982935,0.07552447552447553,3.2006163328197226,0.004949773305789152,1.0561698178013985
frozenset({'shrimp'}),"frozenset({'mineral water', 'frozen vegetables'})",0.07145713904812692,0.03572856952406346,0.007199040127982935,0.1007462686567164,2.8197677656493645,0.004645978767511263,1.0723018396993818
"frozenset({'shrimp', 'frozen vegetables'})",frozenset({'spaghetti'}),0.01666444474070124,0.17411011865084655,0.005999200106652446,0.36,2.067656967840735,0.003097751655598477,1.2904529396080522
"frozenset({'shrimp', 'spaghetti'})",frozenset({'frozen vegetables'}),0.021197173710171976,0.09532062391681109,0.005999200106652446,0.2830188679245283,2.969125214408233,0.003978672283325828,1.2617896561160267
"frozenset({'frozen vegetables', 'spaghetti'})",frozenset({'shrimp'}),0.027862951606452472,0.07145713904812692,0.005999200106652446,0.21531100478468898,3.0131489680782684,0.00400819329941894,1.183325963042326
frozenset({'shrimp'}),"frozenset({'frozen vegetables', 'spaghetti'})",0.07145713904812692,0.027862951606452472,0.005999200106652446,0.08395522388059701,3.013148968078269,0.00400819329941894,1.0612331118919378
frozenset({'frozen vegetables'}),"frozenset({'shrimp', 'spaghetti'})",0.09532062391681109,0.021197173710171976,0.005999200106652446,0.06293706293706293,2.969125214408233,0.003978672283325828,1.044543314622727
frozenset({'spaghetti'}),"frozenset({'shrimp', 'frozen vegetables'})",0.17411011865084655,0.01666444474070124,0.005999200106652446,0.03445635528330781,2.067656967840735,0.003097751655598477,1.018426832013199
"frozenset({'shrimp', 'chocolate'})",frozenset({'frozen vegetables'}),0.017997600319957337,0.09532062391681109,0.005332622317024397,0.29629629629629634,3.1084175084175087,0.0036170798255206645,1.2855970081182158
"frozenset({'chocolate', 'frozen vegetables'})",frozenset({'shrimp'}),0.022930275963204905,0.07145713904812692,0.005332622317024397,0.23255813953488375,3.2545123221103784,0.0036940903991097415,1.2099194854827438
frozenset({'shrimp'}),"frozenset({'chocolate', 'frozen vegetables'})",0.07145713904812692,0.022930275963204905,0.005332622317024397,0.07462686567164178,3.2545123221103784,0.0036940903991097415,1.0558656695236335
frozenset({'frozen vegetables'}),"frozenset({'shrimp', 'chocolate'})",0.09532062391681109,0.017997600319957337,0.005332622317024397,0.055944055944055944,3.1084175084175087,0.0036170798255206645,1.040195134475897
"frozenset({'mineral water', 'shrimp'})",frozenset({'ground beef'}),0.023596853752832957,0.09825356619117451,0.005065991201173177,0.21468926553672316,2.1850531625386167,0.0027475161690657395,1.148267041612677
frozenset({'ground beef'}),"frozenset({'mineral water', 'shrimp'})",0.09825356619117451,0.023596853752832957,0.005065991201173177,0.051560379918588875,2.1850531625386167,0.0027475161690657395,1.0294837178600316
"frozenset({'shrimp', 'ground beef'})",frozenset({'spaghetti'}),0.011465137981602452,0.17411011865084655,0.005999200106652446,0.5232558139534884,3.005315360233627,0.0040030035723273155,1.732354385268956
"frozenset({'shrimp', 'spaghetti'})",frozenset({'ground beef'}),0.021197173710171976,0.09825356619117451,0.005999200106652446,0.2830188679245283,2.880494610993062,0.00391650219645424,1.2576989734702038
"frozenset({'spaghetti', 'ground beef'})",frozenset({'shrimp'}),0.03919477403012932,0.07145713904812692,0.005999200106652446,0.1530612244897959,2.142000456899177,0.0031984536888215813,1.096351811726308
frozenset({'shrimp'}),"frozenset({'spaghetti', 'ground beef'})",0.07145713904812692,0.03919477403012932,0.005999200106652446,0.08395522388059701,2.1420004568991775,0.0031984536888215813,1.0488627314049912
frozenset({'ground beef'}),"frozenset({'shrimp', 'spaghetti'})",0.09825356619117451,0.021197173710171976,0.005999200106652446,0.06105834464043419,2.880494610993062,0.00391650219645424,1.0424532990976927
frozenset({'spaghetti'}),"frozenset({'shrimp', 'ground beef'})",0.17411011865084655,0.011465137981602452,0.005999200106652446,0.03445635528330781,3.0053153602336264,0.0040030035723273155,1.0238116810436377
frozenset({'olive oil'}),frozenset({'ground beef'}),0.0658578856152513,0.09825356619117451,0.014131449140114652,0.2145748987854251,2.183889166607156,0.007660677016605759,1.1480998409834016
frozenset({'ground beef'}),frozenset({'olive oil'}),0.09825356619117451,0.0658578856152513,0.014131449140114652,0.14382632293080055,2.183889166607156,0.007660677016605759,1.0910661462782247
